surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
80.2,2013,2,BE,1,0,3,20,,7,2,1,,0,1,0,1,0,,0,0,0,1,0,0,0,,26
80.2,2013,2,BE,0,0,3,18,,7,2,0,,1,1,0,0,0,,1,1,0,1,1,0,0,,57
80.2,2013,2,BE,1,0,2,21,,8,2,0,,0,1,0,1,1,,0,0,0,1,1,0,0,,42
80.2,2013,2,BE,0,0,2,98,,8,2,0,,1,0,0,0,0,,0,0,0,0,0,0,0,,18
80.2,2013,2,BE,0,0,3,14,,5,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,77
80.2,2013,2,BE,0,0,3,23,,7,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,55
80.2,2013,2,BE,0,0,3,98,,6,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,18
80.2,2013,2,BE,0,0,3,20,,7,1,0,,1,1,0,0,0,,0,0,0,1,1,0,0,,52
80.2,2013,2,BE,0,0,3,22,,7,2,0,,0,1,0,0,0,,0,1,0,1,0,0,0,,55
80.2,2013,2,BE,0,0,3,19,,6,2,1,,1,0,0,1,0,,0,0,0,1,1,0,0,,71
80.2,2013,2,BE,0,0,3,15,,5,2,0,,1,1,0,0,0,,0,0,0,1,0,0,0,,77
80.2,2013,2,BE,2,0,3,21,,8,1,0,,1,1,0,0,0,,0,1,0,1,0,0,0,,33
80.2,2013,2,BE,0,0,3,21,,7,2,0,,1,0,0,0,0,,0,1,0,1,0,0,0,,23
80.2,2013,2,BE,0,0,3,21,,7,1,0,,1,1,0,0,0,,0,0,0,1,1,0,0,,45
80.2,2013,2,BE,0,0,3,21,,5,2,1,,0,1,0,0,0,,0,0,0,1,1,0,0,,59
80.2,2013,2,BE,0,0,3,21,,5,1,0,,1,1,0,0,0,,1,0,0,1,0,0,0,,77
80.2,2013,2,BE,2,0,3,21,,4,2,0,,0,0,0,1,0,,0,0,0,0,1,0,0,,31
80.2,2013,2,BE,0,0,3,14,,10,2,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,77
80.2,2013,2,BE,0,0,3,14,,10,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,68
