country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d1,d11,d8,d40b,d40c,d60
2,BE,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,73,23,0,0,3
2,BE,10,2,1,0,1,0,1,0,0,1,0,1,1,0,0,10,78,14,0,0,3
2,BE,10,1,0,0,0,0,1,0,0,1,0,1,1,0,0,6,49,15,1,1,2
2,BE,5,2,0,0,1,0,1,1,1,1,1,1,1,0,0,5,80,21,0,0,3
2,BE,9,2,0,1,1,0,1,0,0,0,0,1,1,0,0,5,62,14,0,0,2
2,BE,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,44,25,0,0,3
2,BE,10,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,70,23,0,0,3
2,BE,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,69,21,0,0,3
2,BE,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,8,45,20,0,2,3
2,BE,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,47,19,0,0,3
2,BE,8,2,1,1,0,0,1,0,0,0,0,1,0,0,0,5,72,17,0,0,3
2,BE,5,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,51,16,0,0,1
2,BE,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,7,38,18,3,0,2
2,BE,3,2,0,0,1,0,0,0,0,1,0,1,0,0,0,5,74,21,0,0,3
2,BE,7,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,73,22,0,0,3
2,BE,5,2,1,1,1,0,1,1,0,1,0,1,1,0,0,5,87,16,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,0,0,1,1,0,0,5,75,19,0,0,2
2,BE,8,1,0,1,0,0,0,0,0,1,0,1,1,0,0,3,20,18,0,0,1
2,BE,8,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,44,18,0,0,2
2,BE,7,2,0,0,0,0,0,0,0,1,0,1,0,0,0,7,56,25,0,0,3
2,BE,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,5,58,17,0,0,2
2,BE,8,1,1,0,0,0,1,0,0,0,0,1,1,0,0,8,62,19,0,0,2
2,BE,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,8,66,19,0,0,2
2,BE,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,98,48,19,0,0,2
2,BE,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,54,19,0,0,1
2,BE,5,2,0,0,0,0,1,1,0,1,0,1,1,0,0,6,67,23,0,0,3
2,BE,10,1,0,1,0,1,1,1,1,1,1,1,1,0,0,2,23,98,0,0,2
2,BE,7,3,1,1,0,0,1,0,0,0,0,0,0,0,0,7,17,98,1,1,3
2,BE,10,3,0,1,0,0,1,1,0,1,0,1,1,0,0,4,56,18,0,0,3
2,BE,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,19,18,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,78,19,0,0,3
2,BE,7,1,0,1,1,0,0,1,0,1,0,1,1,0,0,6,63,18,0,0,3
2,BE,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,8,57,22,0,0,1
2,BE,6,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5,58,15,0,0,3
2,BE,8,1,1,1,1,1,1,0,0,1,0,1,1,0,0,4,30,21,2,0,3
2,BE,8,1,1,1,0,0,1,0,0,1,0,1,1,0,0,7,78,19,0,0,3
2,BE,4,1,0,1,1,0,1,1,0,1,1,1,1,0,0,7,65,24,0,0,2
2,BE,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,85,17,0,0,3
2,BE,10,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4,75,24,0,0,3
2,BE,6,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5,50,42,1,0,2
2,BE,5,2,0,0,0,0,0,0,0,1,0,1,1,0,0,5,86,14,0,0,2
2,BE,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,5,63,15,0,0,3
2,BE,6,1,0,0,1,0,1,0,0,1,0,0,0,0,0,98,36,21,0,2,2
2,BE,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,8,78,17,0,0,3
